100 3
0 26 426
657 31 1441
1676 16 326
737 34 1476
453 38 263
357 84 585
639 67 1329
895 56 413
1609 8 1290
297 64 90
784 49 946
1708 44 245
580 26 1219
1166 88 574
1723 14 115
1725 27 738
1726 46 1254
207 51 1893
704 66 875
1722 37 803
353 18 1238
1447 47 1442
1227 63 1730
1805 3 695
158 55 360
1098 64 6
875 81 214
27 63 1023
1387 18 853
31 97 1032
623 26 77
1009 64 1595
918 66 1468
1170 49 1362
928 14 282
1646 10 612
718 93 407
1771 19 1196
1889 68 742
969 59 412
1215 98 228
1086 8 746
980 60 448
1333 48 156
25 26 822
967 98 1713
926 82 1148
411 25 1760
631 35 1278
1132 9 1027
13 49 801
1320 77 467
580 5 802
1255 71 90
1116 36 1785
145 27 1442
1214 69 1050
1875 13 1755
1776 64 1416
267 25 1226
497 21 824
1280 28 360
868 13 248
1458 90 1291
942 45 63
1555 57 1469
835 17 1867
852 76 699
826 20 308
270 29 333
542 97 578
210 27 1352
1282 66 260
1428 62 526
528 33 224
1489 18 1851
1158 24 1565
134 93 881
610 74 770
1733 52 316
1416 95 363
1243 99 1467
1533 84 875
1362 75 1580
327 57 1836
1735 51 40
469 66 1533
1 92 128
1174 31 524
1512 52 979
1690 9 1204
1424 60 421
900 64 1571
1520 78 964
1889 22 1416
803 77 1015
1045 42 219
1613 30 146
649 89 984
1864 37 1740
